vendor_folder,vendor_name,vendor_address,vendor_postcode,ship_to_address,ship_to_postcode,service_center_address,service_center_postcode,invoice_number,invoice_date,amount,po_number,pdf_type,pdf_file,processed_file_path,status,error
FLEETPRIDE,,,,,,,,882430,05/29/26,64.0,,scanned_pdf,Invoice_882430_.pdf,clients\northsky_comm\downloads\PROCESSED\Invoice_882430_.pdf,success,
FLEETPRIDE,JIFFY LUBE,"
MANTECA, CA 953363208",95336,,,,,99923980,05/22/26,143.62,7162,scanned_pdf,MY FLEET CENTER INV # 99923980.pdf,clients\northsky_comm\downloads\PROCESSED\MY FLEET CENTER INV # 99923980.pdf,success,
FLEETPRIDE,VALVOLINE INSTANT OIL CHANGE,,,,,"SERVICE CENTER INFORMATION NORTH SKY VIN: 1FTMF1EBXJKC12748 VALVOLINE INSTANT OIL CHANGE NA 2018 Ford 090055---Corvallis Corvallis, OR 97330",97330,167142,01/20/26,116.21,,real_pdf,VALVOLINE INV # 167142.pdf,clients\northsky_comm\downloads\PROCESSED\VALVOLINE INV # 167142.pdf,success,
FLEETPRIDE,VALVOLINE,,,,,"SERVICE CENTER INFORMATION north sky communications VIN: 1FDUFSGTXGEC53204 VALVOLINE INSTANT OIL CHANGE na 2016 Ford F-550 Super Duty 090055-Corvallis Stayton, OR 97383",97383,154281,04/25/25,300.78,,scanned_pdf,F005632-154281-001 - ENTERED.pdf,clients\northsky_comm\downloads\PROCESSED\F005632-154281-001 - ENTERED.pdf,success,
FLEETPRIDE,THE CHARLES MACHINE WORKS,,,514996 NORTHSKY 04 10860 SW CLUTTER ROAD NORTHSKY SHERWOOD OR 97140-9563 10860 SW CLUTTER ROAD SHERWOO,97140,,,93968775,05/29/26,212.15,,real_pdf,THE CHARLES MACHINE INV # 93968775.PDF,clients\northsky_comm\downloads\PROCESSED\THE CHARLES MACHINE INV # 93968775.PDF,success,
FLEETPRIDE,FLEETPRIDE,,,,,,,134882087,05/27/26,1148.98,,scanned_pdf,FLEETPRIDE INV # 134882087.PDF,clients\northsky_comm\downloads\PROCESSED\FLEETPRIDE INV # 134882087.PDF,success,
GENERAL,DITCH WITCH,,,,,,,1005638,5-31-26,1188.08,,real_pdf,DITCH WITCH WEST INV # 1005638 VENDOR ID # V01988.pdf,clients\northsky_comm\downloads\PROCESSED\DITCH WITCH WEST INV # 1005638 VENDOR ID # V01988.pdf,success,
GENERAL,LES SCHWAB,,,,,,,67000553452,05-29-2026,1700.96,,real_pdf,67000553452.pdf,clients\northsky_comm\downloads\PROCESSED\67000553452.pdf,success,
GENERAL,LES SCHWAB,,,,,,,67000553452,05-29-2026,1700.96,,real_pdf,67000553452.pdf,clients\northsky_comm\downloads\PROCESSED\67000553452.pdf,success,
GENERAL,DITCH WITCH,,,,,,,1005638,5-31-26,1188.08,,real_pdf,DITCH WITCH WEST INV # 1005638 VENDOR ID # V01988.pdf,clients\northsky_comm\downloads\PROCESSED\DITCH WITCH WEST INV # 1005638 VENDOR ID # V01988.pdf,success,
GENERAL,VALVOLINE,,,,,"SERVICE CENTER INFORMATION north sky communications VIN: 1FDUFSGTXGEC53204 VALVOLINE INSTANT OIL CHANGE na 2016 Ford F-550 Super Duty 090055-Corvallis Stayton, OR 97383",97383,154281,4/25/25,300.78,,scanned_pdf,F005632-154281-001 - ENTERED.pdf,clients\northsky_comm\downloads\PROCESSED\F005632-154281-001 - ENTERED.pdf,success,
GENERAL,FLEETPRIDE,,,,,,,134882087,05/27/26,1148.98,,scanned_pdf,FLEETPRIDE INV # 134882087.PDF,clients\northsky_comm\downloads\PROCESSED\FLEETPRIDE INV # 134882087.PDF,success,
GENERAL,VALVOLINE INSTANT OIL CHANGE,,,,,"SERVICE CENTER INFORMATION NORTH SKY VIN: 1FTMF1EBXJKC12748 VALVOLINE INSTANT OIL CHANGE NA 2018 Ford 090055---Corvallis Corvallis, OR 97330",97330,167142,1/20/2026,116.21,,real_pdf,VALVOLINE INV # 167142.pdf,clients\northsky_comm\downloads\PROCESSED\VALVOLINE INV # 167142.pdf,success,
